Temperature,Pressure,XgrGRT,XspssGRT,XprpGRT,XMgGRT,SiBT,xTiBT,XMgBT,SiMU,XabPLAG
593.9393939,9525.252525,0.05231689,0.021776275,0.186361634,0.197411353,2.721113217,0.105065019,0.546028082,3.066697321,0.893072845
596.969697,9525.252525,0.051539451,0.022043624,0.186564451,0.19753969,2.719700927,0.106647387,0.5434733,3.068243728,0.891901247
600,9525.252525,0.050770826,0.022309575,0.186778342,0.197680899,2.718299593,0.108242514,0.541000362,3.069676503,0.890679096
603.030303,9525.252525,0.050041937,0.022583482,0.186997871,0.197836375,2.716911433,0.109842465,0.538544909,3.071011971,0.889441295
606.0606061,9525.252525,0.049347352,0.022858568,0.187212195,0.197992673,2.715566767,0.11146102,0.5361565,3.072259011,0.888187942
609.0909091,9525.252525,0.048641548,0.023140616,0.1874538,0.198177527,2.714229814,0.113085616,0.533799887,3.073426886,0.886874452
612.1212121,9525.252525,0.047980032,0.023421344,0.187676229,0.198348358,2.712901529,0.114718589,0.531505797,3.074523424,0.885568226
615.1515152,9525.252525,0.047338402,0.023708641,0.187903365,0.198529823,2.711593676,0.116363076,0.529241024,3.075555123,0.884233617
618.1818182,9525.252525,0.046693804,0.024005307,0.188140438,0.198722547,2.710307476,0.118021532,0.526999966,3.076527667,0.882851812
621.2121212,9525.252525,0.046091223,0.024309958,0.188351309,0.198897119,2.709046493,0.11968344,0.524782979,3.077444141,0.881462226
624.2424242,9525.252525,0.045482227,0.024616322,0.188592452,0.199102481,2.707783348,0.121356529,0.522612522,3.078313061,0.880028721
627.2727273,9525.252525,0.044894518,0.024932043,0.188813666,0.199292749,2.706554386,0.123043011,0.520464079,3.079135293,0.878567177
630.3030303,9525.252525,0.044322218,0.025256983,0.189029977,0.199482468,2.705335942,0.124738145,0.518339426,3.079912629,0.877072583
633.3333333,9525.252525,0.043769886,0.025592079,0.189231251,0.199662405,2.704136678,0.126444291,0.516233055,3.080651712,0.875545801
636.3636364,9525.252525,0.043227995,0.02592999,0.189448366,0.199860679,2.702941361,0.128157068,0.514167598,3.081351638,0.873983713
639.3939394,9525.252525,0.042720499,0.026285479,0.189649214,0.200051863,2.701772243,0.129882629,0.512092891,3.082018384,0.872387954
642.4242424,9525.252525,0.042189403,0.026649447,0.189844819,0.200235364,2.700618836,0.131620994,0.510055239,3.082652251,0.870721524
