Statistic,XgrGRT,XspssGRT,XprpGRT,XMgGRT,SiBT,xTiBT,XMgBT,SiMU,XabPLAG
MEAN,0.059183673,0.018707483,0.163605442,0.177425304,2.713,0.102,0.489915231,3.068,0.887532228
STD,0.006625,0.0039319,0.011036,0.0109095,0.015508063,0.004527693,0.003432841,0.023392307,0.036012764
