Statistic,XgrGRT,XspssGRT,XprpGRT,XMgGRT,SiBT,xTiBT,XMgBT,SiMU,XabPLAG
MEAN,0.059183673,0.018707483,0.163605442,0.177425304,2.713,0.102,0.489915231,3.068,0.887532228
STD,0.01325,0.0078638,0.022072,0.021819,0.031016125,0.009055385,0.006865682,0.046784613,0.072025527
