Temperature (°C),Pressure (bar)
400,4000
550,4000
700,4000
850,4000
1000,4000
400,5500
550,5500
700,5500
850,5500
1000,5500
400,7000
550,7000
700,7000
850,7000
1000,7000
400,8500
550,8500
700,8500
850,8500
1000,8500
400,10000
550,10000
700,10000
850,10000
1000,10000
